"bin_extents","bin_values"
3.3373e-07,136
9.847e-07,127
1.6357e-06,132
2.2866e-06,132
2.9376e-06,95
3.5886e-06,126
4.2396e-06,105
4.8905e-06,112
5.5415e-06,117
6.1925e-06,113
6.8434e-06,109
7.4944e-06,105
8.1454e-06,111
8.7964e-06,121
9.4473e-06,114
1.0098e-05,114
1.0749e-05,118
1.14e-05,122
1.2051e-05,138
1.2702e-05,127
1.3353e-05,137
1.4004e-05,148
1.4655e-05,146
1.5306e-05,144
1.5957e-05,134
1.6608e-05,137
1.7259e-05,146
1.791e-05,133
1.8561e-05,132
1.9212e-05,129
1.9863e-05,141
2.0514e-05,126
2.1165e-05,115
2.1816e-05,118
2.2467e-05,122
2.3118e-05,138
2.3769e-05,110
2.442e-05,116
2.5071e-05,121
2.5722e-05,128
2.6373e-05,122
2.7024e-05,110
2.7675e-05,113
2.8326e-05,105
2.8976e-05,130
2.9627e-05,138
3.0278e-05,115
3.0929e-05,93
3.158e-05,104
3.2231e-05,110
3.2882e-05,85
3.3533e-05,107
3.4184e-05,97
3.4835e-05,100
3.5486e-05,103
3.6137e-05,79
3.6788e-05,94
3.7439e-05,111
3.809e-05,108
3.8741e-05,84
3.9392e-05,87
4.0043e-05,98
4.0694e-05,102
4.1345e-05,90
4.1996e-05,89
4.2647e-05,75
4.3298e-05,68
4.3949e-05,60
4.46e-05,69
4.5251e-05,69
4.5902e-05,52
4.6553e-05,53
4.7204e-05,66
4.7855e-05,70
4.8506e-05,67
4.9157e-05,62
4.9808e-05,56
5.0459e-05,57
5.111e-05,54
5.1761e-05,48
5.2411e-05,62
5.3062e-05,67
5.3713e-05,53
5.4364e-05,45
5.5015e-05,51
5.5666e-05,65
5.6317e-05,42
5.6968e-05,33
5.7619e-05,35
5.827e-05,27
5.8921e-05,30
5.9572e-05,37
6.0223e-05,34
6.0874e-05,32
6.1525e-05,33
6.2176e-05,23
6.2827e-05,21
6.3478e-05,25
6.4129e-05,20
6.478e-05,27
6.5431e-05,24
6.6082e-05,23
6.6733e-05,30
6.7384e-05,25
6.8035e-05,26
6.8686e-05,16
6.9337e-05,23
6.9988e-05,13
7.0639e-05,17
7.129e-05,13
7.1941e-05,13
7.2592e-05,24
7.3243e-05,14
7.3894e-05,16
7.4545e-05,15
7.5195e-05,16
7.5846e-05,17
7.6497e-05,13
7.7148e-05,12
7.7799e-05,11
7.845e-05,13
7.9101e-05,8
7.9752e-05,10
8.0403e-05,17
8.1054e-05,8
8.1705e-05,11
8.2356e-05,12
8.3007e-05,13
8.3658e-05,8
8.4309e-05,7
8.496e-05,13
8.5611e-05,11
8.6262e-05,6
8.6913e-05,10
8.7564e-05,8
8.8215e-05,12
8.8866e-05,12
8.9517e-05,12
9.0168e-05,9
9.0819e-05,6
9.147e-05,11
9.2121e-05,10
9.2772e-05,12
9.3423e-05,6
9.4074e-05,7
9.4725e-05,7
9.5376e-05,13
9.6027e-05,10
9.6678e-05,8
9.7329e-05,6
9.798e-05,3
9.863e-05,1
9.9281e-05,3
9.9932e-05,5
0.00010058,6
0.00010123,2
0.00010189,5
0.00010254,4
0.00010319,5
0.00010384,1
0.00010449,1
0.00010514,7
0.00010579,2
0.00010644,4
0.00010709,4
0.00010774,4
0.0001084,2
0.00010905,3
0.0001097,0
0.00011035,1
0.000111,3
0.00011165,2
0.0001123,0
0.00011295,2
0.0001136,4
0.00011425,4
0.0001149,2
0.00011556,1
0.00011621,0
0.00011686,1
0.00011751,0
0.00011816,0
0.00011881,1
0.00011946,1
0.00012011,0
0.00012076,0
0.00012141,0
0.00012207,0
0.00012272,0
0.00012337,0
0.00012402,1
0.00012467,0
0.00012532,0
0.00012597,0
0.00012662,0
0.00012727,0
0.00012792,0
0.00012858,0
0.00012923,0
0.00012988,0
0.00013053,0
0.00013118,0
0.00013183,0
0.00013248,0
0.00013313,0
0.00013378,0
0.00013443,0
0.00013508,0
0.00013574,0
0.00013639,0
0.00013704,0
0.00013769,0
0.00013834,0
0.00013899,0
0.00013964,0
0.00014029,0
0.00014094,0
0.00014159,0
0.00014225,0
0.0001429,0
0.00014355,0
0.0001442,0
0.00014485,0
0.0001455,0
0.00014615,0
0.0001468,0
0.00014745,0
0.0001481,0
0.00014876,0
0.00014941,0
0.00015006,0
0.00015071,0
0.00015136,0
0.00015201,0
0.00015266,0
0.00015331,0
0.00015396,0
0.00015461,0
0.00015527,0
0.00015592,0
0.00015657,0
0.00015722,0
0.00015787,0
0.00015852,0
0.00015917,0
0.00015982,0
0.00016047,0
0.00016112,0
0.00016177,0
0.00016243,0
0.00016308,0
0.00016373,0
0.00016438,0
0.00016503,0
0.00016568,0
0.00016633,1
