"bin_extents","bin_values"
2.4988e-07,106
7.3286e-07,78
1.2158e-06,112
1.6988e-06,98
2.1818e-06,100
2.6648e-06,80
3.1478e-06,80
3.6307e-06,99
4.1137e-06,79
4.5967e-06,87
5.0797e-06,97
5.5626e-06,78
6.0456e-06,96
6.5286e-06,73
7.0116e-06,97
7.4946e-06,79
7.9775e-06,89
8.4605e-06,97
8.9435e-06,95
9.4265e-06,88
9.9094e-06,101
1.0392e-05,88
1.0875e-05,83
1.1358e-05,92
1.1841e-05,104
1.2324e-05,106
1.2807e-05,105
1.329e-05,135
1.3773e-05,112
1.4256e-05,114
1.4739e-05,122
1.5222e-05,112
1.5705e-05,122
1.6188e-05,132
1.6671e-05,117
1.7154e-05,105
1.7637e-05,96
1.812e-05,104
1.8603e-05,124
1.9086e-05,108
1.9569e-05,113
2.0052e-05,112
2.0535e-05,107
2.1018e-05,107
2.1501e-05,113
2.1984e-05,104
2.2467e-05,115
2.295e-05,115
2.3433e-05,110
2.3916e-05,113
2.4399e-05,111
2.4882e-05,111
2.5365e-05,128
2.5848e-05,114
2.6331e-05,120
2.6814e-05,115
2.7297e-05,120
2.778e-05,104
2.8263e-05,97
2.8746e-05,110
2.9229e-05,97
2.9712e-05,85
3.0195e-05,100
3.0678e-05,118
3.116e-05,82
3.1643e-05,84
3.2126e-05,103
3.2609e-05,89
3.3092e-05,85
3.3575e-05,91
3.4058e-05,86
3.4541e-05,87
3.5024e-05,87
3.5507e-05,81
3.599e-05,77
3.6473e-05,72
3.6956e-05,59
3.7439e-05,68
3.7922e-05,68
3.8405e-05,58
3.8888e-05,59
3.9371e-05,71
3.9854e-05,79
4.0337e-05,49
4.082e-05,59
4.1303e-05,65
4.1786e-05,52
4.2269e-05,40
4.2752e-05,66
4.3235e-05,78
4.3718e-05,52
4.4201e-05,51
4.4684e-05,49
4.5167e-05,41
4.565e-05,52
4.6133e-05,55
4.6616e-05,56
4.7099e-05,45
4.7582e-05,35
4.8065e-05,42
4.8548e-05,42
4.9031e-05,36
4.9514e-05,43
4.9997e-05,28
5.048e-05,36
5.0963e-05,36
5.1446e-05,35
5.1929e-05,28
5.2412e-05,30
5.2895e-05,28
5.3377e-05,21
5.386e-05,18
5.4343e-05,34
5.4826e-05,19
5.5309e-05,19
5.5792e-05,17
5.6275e-05,20
5.6758e-05,18
5.7241e-05,14
5.7724e-05,16
5.8207e-05,7
5.869e-05,11
5.9173e-05,15
5.9656e-05,15
6.0139e-05,14
6.0622e-05,17
6.1105e-05,16
6.1588e-05,19
6.2071e-05,16
6.2554e-05,14
6.3037e-05,12
6.352e-05,10
6.4003e-05,8
6.4486e-05,13
6.4969e-05,15
6.5452e-05,12
6.5935e-05,12
6.6418e-05,7
6.6901e-05,12
6.7384e-05,5
6.7867e-05,9
6.835e-05,14
6.8833e-05,11
6.9316e-05,12
6.9799e-05,5
7.0282e-05,8
7.0765e-05,8
7.1248e-05,5
7.1731e-05,7
7.2214e-05,3
7.2697e-05,6
7.318e-05,6
7.3663e-05,6
7.4146e-05,1
7.4629e-05,6
7.5112e-05,1
7.5595e-05,7
7.6077e-05,8
7.656e-05,7
7.7043e-05,7
7.7526e-05,2
7.8009e-05,2
7.8492e-05,4
7.8975e-05,4
7.9458e-05,5
7.9941e-05,6
8.0424e-05,2
8.0907e-05,6
8.139e-05,3
8.1873e-05,3
8.2356e-05,7
8.2839e-05,5
8.3322e-05,3
8.3805e-05,0
8.4288e-05,0
8.4771e-05,5
8.5254e-05,5
8.5737e-05,3
8.622e-05,1
8.6703e-05,2
8.7186e-05,0
8.7669e-05,3
8.8152e-05,0
8.8635e-05,0
8.9118e-05,0
8.9601e-05,0
9.0084e-05,0
9.0567e-05,1
9.105e-05,0
9.1533e-05,0
9.2016e-05,0
9.2499e-05,0
9.2982e-05,0
9.3465e-05,0
9.3948e-05,0
9.4431e-05,0
9.4914e-05,0
9.5397e-05,0
9.588e-05,0
9.6363e-05,0
9.6846e-05,0
9.7329e-05,0
9.7812e-05,0
9.8294e-05,0
9.8777e-05,0
9.926e-05,0
9.9743e-05,0
0.00010023,0
0.00010071,0
0.00010119,0
0.00010168,0
0.00010216,0
0.00010264,0
0.00010312,0
0.00010361,0
0.00010409,0
0.00010457,0
0.00010506,0
0.00010554,0
0.00010602,0
0.00010651,0
0.00010699,0
0.00010747,0
0.00010795,0
0.00010844,0
0.00010892,0
0.0001094,0
0.00010989,0
0.00011037,0
0.00011085,0
0.00011133,0
0.00011182,0
0.0001123,0
0.00011278,0
0.00011327,0
0.00011375,0
0.00011423,0
0.00011472,0
0.0001152,0
0.00011568,0
0.00011616,0
0.00011665,0
0.00011713,0
0.00011761,0
0.0001181,0
0.00011858,0
0.00011906,0
0.00011955,0
0.00012003,0
0.00012051,0
0.00012099,0
0.00012148,0
0.00012196,0
0.00012244,0
0.00012293,0
0.00012341,1
