"bin_extents","bin_values"
5.1349e-05,40
0.00014291,287
0.00023448,578
0.00032604,583
0.0004176,539
0.00050917,480
0.00060073,376
0.0006923,333
0.00078386,322
0.00087542,293
0.00096699,267
0.0010586,240
0.0011501,238
0.0012417,219
0.0013332,197
0.0014248,228
0.0015164,215
0.0016079,214
0.0016995,198
0.0017911,200
0.0018826,184
0.0019742,196
0.0020658,170
0.0021573,161
0.0022489,176
0.0023404,133
0.002432,137
0.0025236,117
0.0026151,137
0.0027067,130
0.0027983,102
0.0028898,94
0.0029814,109
0.003073,83
0.0031645,95
0.0032561,87
0.0033476,73
0.0034392,88
0.0035308,56
0.0036223,48
0.0037139,60
0.0038055,61
0.003897,48
0.0039886,51
0.0040802,41
0.0041717,49
0.0042633,49
0.0043548,41
0.0044464,37
0.004538,37
0.0046295,35
0.0047211,33
0.0048127,33
0.0049042,41
0.0049958,26
0.0050874,26
0.0051789,29
0.0052705,23
0.005362,36
0.0054536,28
0.0055452,32
0.0056367,17
0.0057283,15
0.0058199,24
0.0059114,17
0.006003,19
0.0060946,22
0.0061861,23
0.0062777,23
0.0063692,26
0.0064608,21
0.0065524,23
0.0066439,21
0.0067355,22
0.0068271,18
0.0069186,13
0.0070102,23
0.0071018,19
0.0071933,10
0.0072849,22
0.0073764,14
0.007468,14
0.0075596,17
0.0076511,14
0.0077427,12
0.0078343,8
0.0079258,4
0.0080174,5
0.008109,7
0.0082005,10
0.0082921,8
0.0083837,8
0.0084752,7
0.0085668,8
0.0086583,4
0.0087499,7
0.0088415,4
0.008933,7
0.0090246,11
0.0091162,3
0.0092077,3
0.0092993,1
0.0093909,6
0.0094824,6
0.009574,6
0.0096655,3
0.0097571,3
0.0098487,6
0.0099402,6
0.010032,9
0.010123,3
0.010215,5
0.010306,5
0.010398,7
0.01049,3
0.010581,6
0.010673,2
0.010764,3
0.010856,3
0.010947,3
0.011039,5
0.011131,6
0.011222,4
0.011314,1
0.011405,3
0.011497,4
0.011588,2
0.01168,3
0.011772,1
0.011863,3
0.011955,2
0.012046,6
0.012138,3
0.012229,3
0.012321,3
0.012412,3
0.012504,6
0.012596,5
0.012687,1
0.012779,3
0.01287,3
0.012962,0
0.013053,1
0.013145,0
0.013237,0
0.013328,1
0.01342,0
0.013511,2
0.013603,2
0.013694,3
0.013786,0
0.013877,4
0.013969,0
0.014061,3
0.014152,1
0.014244,0
0.014335,0
0.014427,1
0.014518,1
0.01461,1
0.014702,1
0.014793,1
0.014885,0
0.014976,1
0.015068,1
0.015159,2
0.015251,1
0.015342,1
0.015434,2
0.015526,1
0.015617,0
0.015709,2
0.0158,1
0.015892,0
0.015983,1
0.016075,1
0.016167,1
0.016258,1
0.01635,0
0.016441,1
0.016533,1
0.016624,0
0.016716,0
0.016808,0
0.016899,1
0.016991,1
0.017082,1
0.017174,0
0.017265,1
0.017357,0
0.017448,0
0.01754,1
0.017632,0
0.017723,0
0.017815,0
0.017906,1
0.017998,0
0.018089,0
0.018181,1
0.018273,0
0.018364,0
0.018456,0
0.018547,0
0.018639,0
0.01873,0
0.018822,0
0.018913,1
0.019005,0
0.019097,0
0.019188,0
0.01928,0
0.019371,0
0.019463,1
0.019554,0
0.019646,0
0.019738,0
0.019829,0
0.019921,0
0.020012,0
0.020104,0
0.020195,0
0.020287,0
0.020379,0
0.02047,0
0.020562,0
0.020653,0
0.020745,0
0.020836,0
0.020928,0
0.021019,0
0.021111,0
0.021203,0
0.021294,0
0.021386,0
0.021477,0
0.021569,0
0.02166,0
0.021752,1
0.021844,1
0.021935,0
0.022027,0
0.022118,0
0.02221,0
0.022301,0
0.022393,0
0.022484,0
0.022576,0
0.022668,0
0.022759,0
0.022851,0
0.022942,0
0.023034,0
0.023125,0
0.023217,0
0.023309,0
0.0234,1
