"bin_extents","bin_values"
2.7584e-07,115
8.108e-07,88
1.3458e-06,117
1.8807e-06,104
2.4157e-06,115
2.9506e-06,75
3.4856e-06,104
4.0205e-06,95
4.5555e-06,86
5.0905e-06,109
5.6254e-06,90
6.1604e-06,100
6.6953e-06,83
7.2303e-06,96
7.7652e-06,96
8.3002e-06,97
8.8352e-06,103
9.3701e-06,90
9.9051e-06,116
1.044e-05,97
1.0975e-05,87
1.151e-05,100
1.2045e-05,115
1.258e-05,107
1.3115e-05,124
1.365e-05,141
1.4185e-05,120
1.472e-05,117
1.5255e-05,118
1.579e-05,141
1.6325e-05,125
1.686e-05,128
1.7394e-05,108
1.7929e-05,118
1.8464e-05,114
1.8999e-05,102
1.9534e-05,129
2.0069e-05,111
2.0604e-05,119
2.1139e-05,105
2.1674e-05,117
2.2209e-05,103
2.2744e-05,109
2.3279e-05,99
2.3814e-05,127
2.4349e-05,121
2.4884e-05,112
2.5419e-05,106
2.5954e-05,119
2.6489e-05,135
2.7024e-05,104
2.7559e-05,122
2.8094e-05,116
2.8629e-05,116
2.9164e-05,101
2.9699e-05,97
3.0233e-05,92
3.0768e-05,103
3.1303e-05,113
3.1838e-05,96
3.2373e-05,91
3.2908e-05,93
3.3443e-05,75
3.3978e-05,94
3.4513e-05,89
3.5048e-05,97
3.5583e-05,87
3.6118e-05,73
3.6653e-05,75
3.7188e-05,109
3.7723e-05,80
3.8258e-05,65
3.8793e-05,80
3.9328e-05,87
3.9863e-05,75
4.0398e-05,71
4.0933e-05,66
4.1468e-05,62
4.2003e-05,59
4.2537e-05,77
4.3072e-05,58
4.3607e-05,58
4.4142e-05,60
4.4677e-05,74
4.5212e-05,55
4.5747e-05,64
4.6282e-05,64
4.6817e-05,54
4.7352e-05,55
4.7887e-05,45
4.8422e-05,58
4.8957e-05,50
4.9492e-05,43
5.0027e-05,35
5.0562e-05,54
5.1097e-05,32
5.1632e-05,43
5.2167e-05,33
5.2702e-05,34
5.3237e-05,30
5.3772e-05,32
5.4307e-05,21
5.4842e-05,40
5.5376e-05,31
5.5911e-05,24
5.6446e-05,27
5.6981e-05,19
5.7516e-05,33
5.8051e-05,15
5.8586e-05,22
5.9121e-05,31
5.9656e-05,20
6.0191e-05,19
6.0726e-05,19
6.1261e-05,19
6.1796e-05,21
6.2331e-05,9
6.2866e-05,12
6.3401e-05,10
6.3936e-05,21
6.4471e-05,11
6.5006e-05,9
6.5541e-05,13
6.6076e-05,12
6.6611e-05,17
6.7146e-05,9
6.768e-05,13
6.8215e-05,11
6.875e-05,16
6.9285e-05,7
6.982e-05,7
7.0355e-05,17
7.089e-05,12
7.1425e-05,10
7.196e-05,14
7.2495e-05,11
7.303e-05,7
7.3565e-05,13
7.41e-05,14
7.4635e-05,5
7.517e-05,8
7.5705e-05,7
7.624e-05,8
7.6775e-05,13
7.731e-05,12
7.7845e-05,9
7.838e-05,5
7.8915e-05,7
7.945e-05,2
7.9985e-05,7
8.0519e-05,5
8.1054e-05,7
8.1589e-05,10
8.2124e-05,6
8.2659e-05,3
8.3194e-05,6
8.3729e-05,5
8.4264e-05,1
8.4799e-05,5
8.5334e-05,8
8.5869e-05,8
8.6404e-05,5
8.6939e-05,3
8.7474e-05,3
8.8009e-05,5
8.8544e-05,7
8.9079e-05,3
8.9614e-05,4
9.0149e-05,6
9.0684e-05,3
9.1219e-05,2
9.1754e-05,9
9.2289e-05,6
9.2823e-05,2
9.3358e-05,2
9.3893e-05,0
9.4428e-05,2
9.4963e-05,0
9.5498e-05,1
9.6033e-05,1
9.6568e-05,1
9.7103e-05,1
9.7638e-05,0
9.8173e-05,0
9.8708e-05,0
9.9243e-05,0
9.9778e-05,0
0.00010031,0
0.00010085,1
0.00010138,0
0.00010192,0
0.00010245,0
0.00010299,0
0.00010352,0
0.00010406,0
0.00010459,0
0.00010513,0
0.00010566,0
0.0001062,0
0.00010673,0
0.00010727,0
0.0001078,0
0.00010834,0
0.00010887,0
0.00010941,0
0.00010994,0
0.00011048,0
0.00011101,0
0.00011155,0
0.00011208,0
0.00011262,0
0.00011315,0
0.00011369,0
0.00011422,0
0.00011476,0
0.00011529,0
0.00011583,0
0.00011636,0
0.0001169,0
0.00011743,0
0.00011797,0
0.0001185,0
0.00011904,0
0.00011957,0
0.00012011,0
0.00012064,0
0.00012118,0
0.00012171,0
0.00012225,0
0.00012278,0
0.00012332,0
0.00012385,0
0.00012439,0
0.00012492,0
0.00012546,0
0.00012599,0
0.00012653,0
0.00012706,0
0.0001276,0
0.00012813,0
0.00012867,0
0.0001292,0
0.00012974,0
0.00013027,0
0.00013081,0
0.00013134,0
0.00013188,0
0.00013241,0
0.00013295,0
0.00013348,0
0.00013402,0
0.00013455,0
0.00013509,0
0.00013562,0
0.00013616,0
0.00013669,1
