"bin_extents","bin_values"
3.6846e-05,610
9.5762e-05,674
0.00015468,705
0.0002136,734
0.00027251,712
0.00033143,617
0.00039034,547
0.00044926,520
0.00050818,463
0.00056709,434
0.00062601,423
0.00068493,368
0.00074384,350
0.00080276,288
0.00086168,248
0.00092059,241
0.00097951,203
0.0010384,152
0.0010973,143
0.0011563,121
0.0012152,133
0.0012741,88
0.001333,82
0.0013919,68
0.0014508,50
0.0015098,62
0.0015687,65
0.0016276,50
0.0016865,46
0.0017454,43
0.0018043,48
0.0018633,43
0.0019222,38
0.0019811,43
0.00204,38
0.0020989,23
0.0021578,27
0.0022168,27
0.0022757,27
0.0023346,17
0.0023935,15
0.0024524,7
0.0025113,11
0.0025703,7
0.0026292,13
0.0026881,15
0.002747,11
0.0028059,15
0.0028648,18
0.0029238,13
0.0029827,8
0.0030416,11
0.0031005,8
0.0031594,5
0.0032183,10
0.0032773,10
0.0033362,5
0.0033951,8
0.003454,7
0.0035129,4
0.0035718,7
0.0036308,4
0.0036897,7
0.0037486,8
0.0038075,5
0.0038664,7
0.0039253,4
0.0039843,6
0.0040432,10
0.0041021,2
0.004161,2
0.0042199,6
0.0042788,6
0.0043377,8
0.0043967,3
0.0044556,5
0.0045145,1
0.0045734,2
0.0046323,3
0.0046912,5
0.0047502,4
0.0048091,3
0.004868,4
0.0049269,4
0.0049858,3
0.0050447,2
0.0051037,1
0.0051626,3
0.0052215,4
0.0052804,1
0.0053393,1
0.0053982,0
0.0054572,2
0.0055161,1
0.005575,4
0.0056339,1
0.0056928,1
0.0057517,1
0.0058107,1
0.0058696,1
0.0059285,2
0.0059874,1
0.0060463,1
0.0061052,3
0.0061642,0
0.0062231,1
0.006282,0
0.0063409,1
0.0063998,1
0.0064587,2
0.0065177,3
0.0065766,1
0.0066355,2
0.0066944,1
0.0067533,0
0.0068122,0
0.0068712,2
0.0069301,2
0.006989,0
0.0070479,2
0.0071068,2
0.0071657,2
0.0072247,2
0.0072836,3
0.0073425,2
0.0074014,1
0.0074603,1
0.0075192,2
0.0075782,0
0.0076371,0
0.007696,0
0.0077549,3
0.0078138,1
0.0078727,2
0.0079317,2
0.0079906,0
0.0080495,1
0.0081084,0
0.0081673,2
0.0082262,0
0.0082852,1
0.0083441,4
0.008403,1
0.0084619,1
0.0085208,0
0.0085797,0
0.0086387,0
0.0086976,2
0.0087565,0
0.0088154,1
0.0088743,0
0.0089332,0
0.0089922,3
0.0090511,0
0.00911,0
0.0091689,1
0.0092278,1
0.0092867,1
0.0093457,1
0.0094046,0
0.0094635,0
0.0095224,0
0.0095813,1
0.0096402,0
0.0096991,1
0.0097581,0
0.009817,0
0.0098759,2
0.0099348,2
0.0099937,1
0.010053,0
0.010112,0
0.01017,1
0.010229,0
0.010288,0
0.010347,1
0.010406,0
0.010465,0
0.010524,0
0.010583,0
0.010642,1
0.010701,0
0.01076,0
0.010819,0
0.010877,0
0.010936,0
0.010995,0
0.011054,0
0.011113,0
0.011172,0
0.011231,1
0.01129,0
0.011349,0
0.011408,0
0.011467,0
0.011526,1
0.011584,1
0.011643,0
0.011702,0
0.011761,0
0.01182,0
0.011879,0
0.011938,0
0.011997,0
0.012056,0
0.012115,0
0.012174,0
0.012233,0
0.012291,0
0.01235,1
0.012409,0
0.012468,0
0.012527,0
0.012586,0
0.012645,1
0.012704,0
0.012763,0
0.012822,1
0.012881,0
0.01294,0
0.012998,0
0.013057,0
0.013116,0
0.013175,0
0.013234,0
0.013293,0
0.013352,0
0.013411,0
0.01347,0
0.013529,0
0.013588,0
0.013647,0
0.013705,0
0.013764,0
0.013823,0
0.013882,0
0.013941,0
0.014,0
0.014059,0
0.014118,0
0.014177,0
0.014236,0
0.014295,0
0.014354,0
0.014412,0
0.014471,0
0.01453,0
0.014589,0
0.014648,0
0.014707,0
0.014766,0
0.014825,0
0.014884,0
0.014943,0
0.015002,0
0.015061,1
