"bin_extents","bin_values"
2.1642e-05,31
4.6422e-05,139
7.1202e-05,286
9.5982e-05,386
0.00012076,400
0.00014554,367
0.00017032,332
0.0001951,293
0.00021988,321
0.00024466,315
0.00026944,267
0.00029422,286
0.000319,235
0.00034378,231
0.00036856,222
0.00039334,190
0.00041812,220
0.0004429,261
0.00046768,232
0.00049246,188
0.00051724,202
0.00054202,211
0.0005668,225
0.00059158,190
0.00061636,201
0.00064114,181
0.00066592,156
0.0006907,145
0.00071548,144
0.00074026,139
0.00076504,142
0.00078982,140
0.0008146,124
0.00083938,92
0.00086416,101
0.00088894,112
0.00091372,95
0.0009385,77
0.00096328,101
0.00098806,89
0.0010128,80
0.0010376,98
0.0010624,79
0.0010872,76
0.001112,59
0.0011367,59
0.0011615,50
0.0011863,51
0.0012111,38
0.0012359,34
0.0012606,43
0.0012854,40
0.0013102,39
0.001335,41
0.0013598,37
0.0013845,32
0.0014093,28
0.0014341,26
0.0014589,37
0.0014837,28
0.0015084,39
0.0015332,24
0.001558,33
0.0015828,26
0.0016076,28
0.0016323,23
0.0016571,24
0.0016819,30
0.0017067,23
0.0017315,22
0.0017562,18
0.001781,28
0.0018058,17
0.0018306,16
0.0018554,16
0.0018801,15
0.0019049,14
0.0019297,18
0.0019545,22
0.0019793,13
0.002004,21
0.0020288,12
0.0020536,22
0.0020784,22
0.0021032,14
0.0021279,17
0.0021527,11
0.0021775,14
0.0022023,14
0.0022271,15
0.0022518,14
0.0022766,7
0.0023014,12
0.0023262,15
0.002351,12
0.0023757,14
0.0024005,7
0.0024253,5
0.0024501,11
0.0024749,2
0.0024996,9
0.0025244,2
0.0025492,4
0.002574,4
0.0025988,5
0.0026235,8
0.0026483,7
0.0026731,7
0.0026979,7
0.0027227,5
0.0027474,4
0.0027722,10
0.002797,5
0.0028218,5
0.0028466,3
0.0028713,8
0.0028961,3
0.0029209,6
0.0029457,5
0.0029705,8
0.0029952,4
0.00302,6
0.0030448,3
0.0030696,5
0.0030944,5
0.0031191,3
0.0031439,2
0.0031687,2
0.0031935,3
0.0032183,2
0.003243,5
0.0032678,3
0.0032926,3
0.0033174,0
0.0033422,1
0.0033669,0
0.0033917,1
0.0034165,5
0.0034413,4
0.0034661,2
0.0034908,4
0.0035156,2
0.0035404,3
0.0035652,2
0.00359,2
0.0036147,3
0.0036395,2
0.0036643,2
0.0036891,1
0.0037139,0
0.0037386,2
0.0037634,2
0.0037882,0
0.003813,1
0.0038378,2
0.0038625,2
0.0038873,3
0.0039121,1
0.0039369,3
0.0039617,1
0.0039864,1
0.0040112,2
0.004036,2
0.0040608,2
0.0040856,2
0.0041103,1
0.0041351,2
0.0041599,0
0.0041847,0
0.0042095,0
0.0042342,0
0.004259,4
0.0042838,0
0.0043086,3
0.0043334,0
0.0043581,1
0.0043829,1
0.0044077,1
0.0044325,0
0.0044572,0
0.004482,0
0.0045068,0
0.0045316,1
0.0045564,0
0.0045811,0
0.0046059,2
0.0046307,0
0.0046555,0
0.0046803,0
0.004705,1
0.0047298,0
0.0047546,1
0.0047794,0
0.0048042,0
0.0048289,0
0.0048537,0
0.0048785,0
0.0049033,0
0.0049281,1
0.0049528,0
0.0049776,0
0.0050024,0
0.0050272,0
0.005052,0
0.0050767,0
0.0051015,0
0.0051263,0
0.0051511,0
0.0051759,1
0.0052006,0
0.0052254,0
0.0052502,0
0.005275,0
0.0052998,0
0.0053245,0
0.0053493,0
0.0053741,1
0.0053989,0
0.0054237,1
0.0054484,0
0.0054732,0
0.005498,0
0.0055228,1
0.0055476,0
0.0055723,1
0.0055971,0
0.0056219,0
0.0056467,0
0.0056715,0
0.0056962,0
0.005721,0
0.0057458,0
0.0057706,0
0.0057954,0
0.0058201,0
0.0058449,0
0.0058697,0
0.0058945,0
0.0059193,0
0.005944,0
0.0059688,0
0.0059936,0
0.0060184,0
0.0060432,0
0.0060679,0
0.0060927,0
0.0061175,0
0.0061423,0
0.0061671,0
0.0061918,0
0.0062166,0
0.0062414,0
0.0062662,0
0.006291,0
0.0063157,0
0.0063405,1
