"bin_extents","bin_values"
2.0459e-06,165
6.0877e-06,160
1.0129e-05,164
1.4171e-05,147
1.8213e-05,129
2.2255e-05,152
2.6297e-05,125
3.0338e-05,127
3.438e-05,134
3.8422e-05,128
4.2464e-05,96
4.6506e-05,124
5.0547e-05,116
5.4589e-05,136
5.8631e-05,123
6.2673e-05,136
6.6715e-05,143
7.0756e-05,149
7.4798e-05,128
7.884e-05,115
8.2882e-05,146
8.6924e-05,160
9.0965e-05,143
9.5007e-05,159
9.9049e-05,158
0.00010309,151
0.00010713,167
0.00011117,174
0.00011522,182
0.00011926,175
0.0001233,173
0.00012734,192
0.00013138,207
0.00013543,206
0.00013947,219
0.00014351,206
0.00014755,215
0.00015159,225
0.00015563,185
0.00015968,176
0.00016372,189
0.00016776,181
0.0001718,196
0.00017584,172
0.00017989,179
0.00018393,168
0.00018797,156
0.00019201,185
0.00019605,185
0.00020009,173
0.00020414,181
0.00020818,167
0.00021222,128
0.00021626,118
0.0002203,71
0.00022434,71
0.00022839,72
0.00023243,69
0.00023647,65
0.00024051,85
0.00024455,59
0.0002486,57
0.00025264,49
0.00025668,76
0.00026072,47
0.00026476,51
0.0002688,46
0.00027285,44
0.00027689,32
0.00028093,24
0.00028497,36
0.00028901,25
0.00029306,22
0.0002971,7
0.00030114,9
0.00030518,10
0.00030922,11
0.00031326,7
0.00031731,6
0.00032135,5
0.00032539,7
0.00032943,4
0.00033347,5
0.00033752,7
0.00034156,6
0.0003456,5
0.00034964,8
0.00035368,9
0.00035772,4
0.00036177,5
0.00036581,6
0.00036985,5
0.00037389,1
0.00037793,5
0.00038197,8
0.00038602,5
0.00039006,5
0.0003941,6
0.00039814,3
0.00040218,1
0.00040623,9
0.00041027,3
0.00041431,5
0.00041835,0
0.00042239,6
0.00042643,4
0.00043048,1
0.00043452,2
0.00043856,3
0.0004426,3
0.00044664,3
0.00045069,4
0.00045473,6
0.00045877,4
0.00046281,3
0.00046685,4
0.00047089,2
0.00047494,1
0.00047898,1
0.00048302,4
0.00048706,0
0.0004911,1
0.00049515,7
0.00049919,0
0.00050323,1
0.00050727,1
0.00051131,3
0.00051535,2
0.0005194,1
0.00052344,2
0.00052748,2
0.00053152,3
0.00053556,1
0.00053961,3
0.00054365,1
0.00054769,4
0.00055173,1
0.00055577,1
0.00055981,1
0.00056386,1
0.0005679,1
0.00057194,1
0.00057598,0
0.00058002,1
0.00058406,1
0.00058811,0
0.00059215,1
0.00059619,1
0.00060023,3
0.00060427,0
0.00060832,1
0.00061236,0
0.0006164,1
0.00062044,1
0.00062448,2
0.00062852,0
0.00063257,2
0.00063661,0
0.00064065,0
0.00064469,2
0.00064873,0
0.00065278,1
0.00065682,2
0.00066086,0
0.0006649,2
0.00066894,0
0.00067298,1
0.00067703,0
0.00068107,2
0.00068511,0
0.00068915,0
0.00069319,1
0.00069724,0
0.00070128,2
0.00070532,0
0.00070936,0
0.0007134,0
0.00071744,0
0.00072149,0
0.00072553,0
0.00072957,0
0.00073361,0
0.00073765,0
0.00074169,0
0.00074574,0
0.00074978,0
0.00075382,1
0.00075786,0
0.0007619,1
0.00076595,0
0.00076999,0
0.00077403,2
0.00077807,0
0.00078211,0
0.00078615,0
0.0007902,0
0.00079424,1
0.00079828,0
0.00080232,0
0.00080636,0
0.00081041,2
0.00081445,0
0.00081849,0
0.00082253,1
0.00082657,0
0.00083061,0
0.00083466,0
0.0008387,1
0.00084274,0
0.00084678,0
0.00085082,1
0.00085487,0
0.00085891,0
0.00086295,0
0.00086699,1
0.00087103,0
0.00087507,0
0.00087912,0
0.00088316,0
0.0008872,0
0.00089124,0
0.00089528,0
0.00089933,0
0.00090337,0
0.00090741,0
0.00091145,0
0.00091549,0
0.00091953,0
0.00092358,0
0.00092762,0
0.00093166,0
0.0009357,0
0.00093974,0
0.00094378,0
0.00094783,0
0.00095187,0
0.00095591,0
0.00095995,0
0.00096399,0
0.00096804,0
0.00097208,0
0.00097612,0
0.00098016,0
0.0009842,0
0.00098824,0
0.00099229,0
0.00099633,0
0.0010004,0
0.0010044,0
0.0010085,0
0.0010125,0
0.0010165,0
0.0010206,0
0.0010246,0
0.0010287,0
0.0010327,1
