"bin_extents","bin_values"
4.0321e-05,183
9.4475e-05,447
0.00014863,444
0.00020278,471
0.00025694,484
0.00031109,499
0.00036524,498
0.0004194,491
0.00047355,551
0.0005277,586
0.00058186,497
0.00063601,554
0.00069016,516
0.00074432,471
0.00079847,398
0.00085263,399
0.00090678,336
0.00096093,264
0.0010151,186
0.0010692,169
0.0011234,136
0.0011775,98
0.0012317,90
0.0012859,86
0.00134,70
0.0013942,51
0.0014483,56
0.0015025,59
0.0015566,51
0.0016108,49
0.0016649,51
0.0017191,32
0.0017732,40
0.0018274,29
0.0018815,25
0.0019357,20
0.0019899,22
0.002044,15
0.0020982,20
0.0021523,22
0.0022065,13
0.0022606,13
0.0023148,11
0.0023689,18
0.0024231,9
0.0024772,12
0.0025314,13
0.0025855,11
0.0026397,15
0.0026938,16
0.002748,17
0.0028022,7
0.0028563,16
0.0029105,5
0.0029646,10
0.0030188,7
0.0030729,9
0.0031271,10
0.0031812,6
0.0032354,7
0.0032895,6
0.0033437,12
0.0033978,7
0.003452,3
0.0035062,6
0.0035603,10
0.0036145,4
0.0036686,4
0.0037228,4
0.0037769,7
0.0038311,3
0.0038852,4
0.0039394,1
0.0039935,3
0.0040477,5
0.0041018,5
0.004156,7
0.0042101,4
0.0042643,2
0.0043185,4
0.0043726,4
0.0044268,5
0.0044809,7
0.0045351,2
0.0045892,5
0.0046434,5
0.0046975,6
0.0047517,4
0.0048058,3
0.00486,1
0.0049141,5
0.0049683,3
0.0050225,1
0.0050766,0
0.0051308,2
0.0051849,1
0.0052391,4
0.0052932,5
0.0053474,0
0.0054015,2
0.0054557,3
0.0055098,2
0.005564,5
0.0056181,1
0.0056723,7
0.0057264,2
0.0057806,3
0.0058348,5
0.0058889,3
0.0059431,0
0.0059972,2
0.0060514,1
0.0061055,2
0.0061597,5
0.0062138,3
0.006268,3
0.0063221,2
0.0063763,0
0.0064304,0
0.0064846,0
0.0065388,2
0.0065929,0
0.0066471,1
0.0067012,0
0.0067554,1
0.0068095,3
0.0068637,2
0.0069178,2
0.006972,4
0.0070261,1
0.0070803,0
0.0071344,1
0.0071886,0
0.0072427,2
0.0072969,1
0.0073511,2
0.0074052,2
0.0074594,2
0.0075135,1
0.0075677,3
0.0076218,2
0.007676,0
0.0077301,3
0.0077843,0
0.0078384,1
0.0078926,3
0.0079467,2
0.0080009,2
0.0080551,1
0.0081092,0
0.0081634,0
0.0082175,1
0.0082717,1
0.0083258,3
0.00838,0
0.0084341,2
0.0084883,2
0.0085424,0
0.0085966,0
0.0086507,0
0.0087049,1
0.008759,1
0.0088132,0
0.0088674,0
0.0089215,0
0.0089757,2
0.0090298,1
0.009084,2
0.0091381,2
0.0091923,1
0.0092464,2
0.0093006,3
0.0093547,0
0.0094089,0
0.009463,2
0.0095172,0
0.0095714,0
0.0096255,2
0.0096797,0
0.0097338,2
0.009788,0
0.0098421,1
0.0098963,1
0.0099504,1
0.010005,0
0.010059,1
0.010113,0
0.010167,0
0.010221,1
0.010275,1
0.01033,0
0.010384,0
0.010438,0
0.010492,0
0.010546,0
0.0106,0
0.010654,0
0.010709,1
0.010763,0
0.010817,0
0.010871,0
0.010925,1
0.010979,0
0.011034,0
0.011088,1
0.011142,1
0.011196,0
0.01125,0
0.011304,0
0.011358,0
0.011413,0
0.011467,1
0.011521,0
0.011575,0
0.011629,1
0.011683,0
0.011737,0
0.011792,0
0.011846,1
0.0119,0
0.011954,1
0.012008,0
0.012062,0
0.012117,0
0.012171,0
0.012225,0
0.012279,0
0.012333,0
0.012387,0
0.012441,0
0.012496,1
0.01255,0
0.012604,2
0.012658,0
0.012712,0
0.012766,0
0.012821,0
0.012875,0
0.012929,0
0.012983,0
0.013037,0
0.013091,0
0.013145,0
0.0132,0
0.013254,0
0.013308,0
0.013362,0
0.013416,1
0.01347,1
0.013525,0
0.013579,0
0.013633,0
0.013687,0
0.013741,0
0.013795,0
0.013849,1
