"bin_extents","bin_values"
5.8187e-07,293
1.7332e-06,273
2.8845e-06,245
4.0359e-06,243
5.1872e-06,228
6.3385e-06,242
7.4898e-06,207
8.6412e-06,250
9.7925e-06,273
1.0944e-05,249
1.2095e-05,243
1.3246e-05,244
1.4398e-05,261
1.5549e-05,257
1.67e-05,264
1.7852e-05,289
1.9003e-05,265
2.0154e-05,250
2.1306e-05,223
2.2457e-05,223
2.3608e-05,190
2.476e-05,196
2.5911e-05,142
2.7062e-05,161
2.8214e-05,164
2.9365e-05,160
3.0516e-05,113
3.1668e-05,117
3.2819e-05,115
3.397e-05,124
3.5122e-05,109
3.6273e-05,101
3.7424e-05,104
3.8576e-05,82
3.9727e-05,78
4.0878e-05,93
4.203e-05,78
4.3181e-05,96
4.4332e-05,83
4.5484e-05,86
4.6635e-05,74
4.7786e-05,71
4.8938e-05,74
5.0089e-05,50
5.124e-05,62
5.2392e-05,62
5.3543e-05,77
5.4694e-05,62
5.5846e-05,77
5.6997e-05,67
5.8148e-05,53
5.9299e-05,59
6.0451e-05,44
6.1602e-05,53
6.2753e-05,58
6.3905e-05,59
6.5056e-05,58
6.6207e-05,51
6.7359e-05,53
6.851e-05,52
6.9661e-05,42
7.0813e-05,42
7.1964e-05,34
7.3115e-05,35
7.4267e-05,34
7.5418e-05,36
7.6569e-05,34
7.7721e-05,29
7.8872e-05,27
8.0023e-05,34
8.1175e-05,26
8.2326e-05,33
8.3477e-05,32
8.4629e-05,28
8.578e-05,23
8.6931e-05,20
8.8083e-05,22
8.9234e-05,29
9.0385e-05,32
9.1537e-05,21
9.2688e-05,24
9.3839e-05,23
9.4991e-05,20
9.6142e-05,19
9.7293e-05,21
9.8445e-05,17
9.9596e-05,18
0.00010075,13
0.0001019,17
0.00010305,24
0.0001042,17
0.00010535,13
0.0001065,18
0.00010766,17
0.00010881,18
0.00010996,7
0.00011111,16
0.00011226,10
0.00011341,14
0.00011456,10
0.00011571,12
0.00011687,12
0.00011802,10
0.00011917,10
0.00012032,19
0.00012147,10
0.00012262,6
0.00012377,7
0.00012493,11
0.00012608,6
0.00012723,6
0.00012838,12
0.00012953,9
0.00013068,4
0.00013183,2
0.00013298,4
0.00013414,10
0.00013529,4
0.00013644,5
0.00013759,5
0.00013874,13
0.00013989,6
0.00014104,19
0.00014219,7
0.00014335,3
0.0001445,8
0.00014565,7
0.0001468,6
0.00014795,6
0.0001491,11
0.00015025,8
0.00015141,5
0.00015256,6
0.00015371,4
0.00015486,6
0.00015601,3
0.00015716,4
0.00015831,3
0.00015946,2
0.00016062,2
0.00016177,1
0.00016292,2
0.00016407,9
0.00016522,2
0.00016637,5
0.00016752,5
0.00016868,3
0.00016983,3
0.00017098,5
0.00017213,6
0.00017328,4
0.00017443,2
0.00017558,0
0.00017673,1
0.00017789,2
0.00017904,5
0.00018019,5
0.00018134,6
0.00018249,6
0.00018364,2
0.00018479,1
0.00018595,2
0.0001871,2
0.00018825,2
0.0001894,6
0.00019055,2
0.0001917,1
0.00019285,2
0.000194,1
0.00019516,3
0.00019631,4
0.00019746,3
0.00019861,0
0.00019976,0
0.00020091,0
0.00020206,0
0.00020322,0
0.00020437,2
0.00020552,1
0.00020667,3
0.00020782,0
0.00020897,1
0.00021012,0
0.00021127,0
0.00021243,2
0.00021358,0
0.00021473,0
0.00021588,1
0.00021703,0
0.00021818,0
0.00021933,1
0.00022049,3
0.00022164,1
0.00022279,1
0.00022394,0
0.00022509,1
0.00022624,0
0.00022739,0
0.00022854,1
0.0002297,0
0.00023085,0
0.000232,1
0.00023315,0
0.0002343,0
0.00023545,0
0.0002366,0
0.00023775,0
0.00023891,0
0.00024006,0
0.00024121,1
0.00024236,0
0.00024351,0
0.00024466,0
0.00024581,1
0.00024697,0
0.00024812,0
0.00024927,0
0.00025042,0
0.00025157,0
0.00025272,0
0.00025387,1
0.00025502,0
0.00025618,0
0.00025733,0
0.00025848,0
0.00025963,0
0.00026078,0
0.00026193,0
0.00026308,0
0.00026424,0
0.00026539,0
0.00026654,0
0.00026769,0
0.00026884,0
0.00026999,0
0.00027114,1
0.00027229,1
0.00027345,0
0.0002746,0
0.00027575,0
0.0002769,0
0.00027805,0
0.0002792,0
0.00028035,0
0.00028151,0
0.00028266,0
0.00028381,0
0.00028496,0
0.00028611,0
0.00028726,0
0.00028841,0
0.00028956,0
0.00029072,0
0.00029187,0
0.00029302,0
0.00029417,1
