"bin_extents","bin_values"
2.2115e-06,320
6.4004e-06,298
1.0589e-05,286
1.4778e-05,270
1.8967e-05,220
2.3156e-05,220
2.7345e-05,237
3.1534e-05,235
3.5723e-05,186
3.9912e-05,211
4.41e-05,175
4.8289e-05,160
5.2478e-05,171
5.6667e-05,146
6.0856e-05,145
6.5045e-05,162
6.9234e-05,126
7.3423e-05,147
7.7612e-05,121
8.1801e-05,143
8.5989e-05,137
9.0178e-05,148
9.4367e-05,149
9.8556e-05,150
0.00010275,160
0.00010693,126
0.00011112,146
0.00011531,150
0.0001195,150
0.00012369,144
0.00012788,133
0.00013207,137
0.00013626,145
0.00014045,151
0.00014463,157
0.00014882,168
0.00015301,149
0.0001572,155
0.00016139,128
0.00016558,144
0.00016977,135
0.00017396,140
0.00017815,132
0.00018233,130
0.00018652,106
0.00019071,101
0.0001949,116
0.00019909,124
0.00020328,136
0.00020747,114
0.00021166,142
0.00021585,108
0.00022003,88
0.00022422,108
0.00022841,94
0.0002326,101
0.00023679,74
0.00024098,90
0.00024517,84
0.00024936,73
0.00025355,82
0.00025773,68
0.00026192,60
0.00026611,56
0.0002703,49
0.00027449,57
0.00027868,54
0.00028287,37
0.00028706,44
0.00029125,29
0.00029543,18
0.00029962,29
0.00030381,14
0.000308,14
0.00031219,13
0.00031638,19
0.00032057,11
0.00032476,11
0.00032895,7
0.00033313,4
0.00033732,11
0.00034151,8
0.0003457,9
0.00034989,8
0.00035408,10
0.00035827,8
0.00036246,5
0.00036665,6
0.00037083,1
0.00037502,7
0.00037921,5
0.0003834,6
0.00038759,3
0.00039178,2
0.00039597,4
0.00040016,7
0.00040435,4
0.00040853,3
0.00041272,6
0.00041691,4
0.0004211,9
0.00042529,7
0.00042948,5
0.00043367,6
0.00043786,6
0.00044205,2
0.00044623,4
0.00045042,4
0.00045461,5
0.0004588,4
0.00046299,2
0.00046718,3
0.00047137,2
0.00047556,2
0.00047975,2
0.00048393,2
0.00048812,1
0.00049231,4
0.0004965,1
0.00050069,3
0.00050488,1
0.00050907,3
0.00051326,2
0.00051745,0
0.00052164,0
0.00052582,1
0.00053001,0
0.0005342,0
0.00053839,1
0.00054258,0
0.00054677,0
0.00055096,0
0.00055515,1
0.00055934,2
0.00056352,0
0.00056771,0
0.0005719,1
0.00057609,0
0.00058028,0
0.00058447,2
0.00058866,0
0.00059285,0
0.00059704,1
0.00060122,1
0.00060541,0
0.0006096,0
0.00061379,3
0.00061798,0
0.00062217,0
0.00062636,0
0.00063055,0
0.00063474,0
0.00063892,0
0.00064311,0
0.0006473,0
0.00065149,0
0.00065568,0
0.00065987,1
0.00066406,0
0.00066825,1
0.00067244,1
0.00067662,0
0.00068081,0
0.000685,0
0.00068919,0
0.00069338,0
0.00069757,2
0.00070176,0
0.00070595,1
0.00071014,0
0.00071432,0
0.00071851,1
0.0007227,0
0.00072689,0
0.00073108,0
0.00073527,1
0.00073946,0
0.00074365,0
0.00074784,0
0.00075202,0
0.00075621,0
0.0007604,1
0.00076459,0
0.00076878,0
0.00077297,0
0.00077716,0
0.00078135,0
0.00078554,0
0.00078972,1
0.00079391,0
0.0007981,0
0.00080229,0
0.00080648,0
0.00081067,0
0.00081486,0
0.00081905,0
0.00082324,0
0.00082742,0
0.00083161,0
0.0008358,0
0.00083999,0
0.00084418,0
0.00084837,0
0.00085256,0
0.00085675,0
0.00086094,0
0.00086512,0
0.00086931,0
0.0008735,0
0.00087769,0
0.00088188,0
0.00088607,0
0.00089026,0
0.00089445,0
0.00089864,0
0.00090282,0
0.00090701,0
0.0009112,0
0.00091539,0
0.00091958,0
0.00092377,0
0.00092796,0
0.00093215,0
0.00093634,0
0.00094052,0
0.00094471,0
0.0009489,0
0.00095309,0
0.00095728,0
0.00096147,0
0.00096566,0
0.00096985,0
0.00097404,0
0.00097823,0
0.00098241,1
0.0009866,0
0.00099079,0
0.00099498,0
0.00099917,0
0.0010034,0
0.0010075,0
0.0010117,0
0.0010159,0
0.0010201,0
0.0010243,0
0.0010285,0
0.0010327,0
0.0010369,0
0.0010411,0
0.0010452,0
0.0010494,0
0.0010536,0
0.0010578,0
0.001062,0
0.0010662,0
0.0010704,1
