"bin_extents","bin_values"
4.0719e-07,160
1.2058e-06,181
2.0044e-06,172
2.803e-06,136
3.6016e-06,153
4.4002e-06,133
5.1988e-06,153
5.9974e-06,127
6.796e-06,124
7.5946e-06,149
8.3932e-06,150
9.1918e-06,121
9.9904e-06,161
1.0789e-05,140
1.1588e-05,155
1.2386e-05,164
1.3185e-05,162
1.3983e-05,149
1.4782e-05,183
1.5581e-05,171
1.6379e-05,184
1.7178e-05,187
1.7976e-05,182
1.8775e-05,176
1.9574e-05,162
2.0372e-05,173
2.1171e-05,156
2.1969e-05,138
2.2768e-05,150
2.3566e-05,140
2.4365e-05,123
2.5164e-05,121
2.5962e-05,121
2.6761e-05,123
2.7559e-05,126
2.8358e-05,106
2.9157e-05,114
2.9955e-05,116
3.0754e-05,118
3.1552e-05,122
3.2351e-05,101
3.315e-05,101
3.3948e-05,80
3.4747e-05,82
3.5545e-05,96
3.6344e-05,98
3.7143e-05,109
3.7941e-05,90
3.874e-05,96
3.9538e-05,99
4.0337e-05,87
4.1136e-05,83
4.1934e-05,109
4.2733e-05,66
4.3531e-05,83
4.433e-05,87
4.5129e-05,88
4.5927e-05,83
4.6726e-05,78
4.7524e-05,73
4.8323e-05,69
4.9122e-05,73
4.992e-05,56
5.0719e-05,64
5.1517e-05,81
5.2316e-05,54
5.3115e-05,58
5.3913e-05,64
5.4712e-05,62
5.551e-05,55
5.6309e-05,47
5.7108e-05,48
5.7906e-05,40
5.8705e-05,46
5.9503e-05,47
6.0302e-05,44
6.1101e-05,48
6.1899e-05,43
6.2698e-05,38
6.3496e-05,41
6.4295e-05,48
6.5094e-05,49
6.5892e-05,28
6.6691e-05,28
6.7489e-05,31
6.8288e-05,31
6.9087e-05,31
6.9885e-05,45
7.0684e-05,38
7.1482e-05,41
7.2281e-05,28
7.3079e-05,31
7.3878e-05,32
7.4677e-05,27
7.5475e-05,26
7.6274e-05,24
7.7072e-05,20
7.7871e-05,25
7.867e-05,18
7.9468e-05,23
8.0267e-05,23
8.1065e-05,20
8.1864e-05,16
8.2663e-05,19
8.3461e-05,17
8.426e-05,20
8.5058e-05,20
8.5857e-05,19
8.6656e-05,16
8.7454e-05,12
8.8253e-05,12
8.9051e-05,4
8.985e-05,22
9.0649e-05,9
9.1447e-05,14
9.2246e-05,13
9.3044e-05,11
9.3843e-05,13
9.4642e-05,14
9.544e-05,14
9.6239e-05,7
9.7037e-05,8
9.7836e-05,6
9.8635e-05,11
9.9433e-05,11
0.00010023,9
0.00010103,6
0.00010183,7
0.00010263,8
0.00010343,8
0.00010422,10
0.00010502,2
0.00010582,5
0.00010662,9
0.00010742,5
0.00010822,5
0.00010902,9
0.00010981,8
0.00011061,8
0.00011141,6
0.00011221,7
0.00011301,3
0.00011381,4
0.00011461,7
0.00011541,3
0.0001162,7
0.000117,4
0.0001178,4
0.0001186,4
0.0001194,5
0.0001202,3
0.000121,3
0.00012179,2
0.00012259,1
0.00012339,5
0.00012419,4
0.00012499,5
0.00012579,3
0.00012659,1
0.00012738,1
0.00012818,5
0.00012898,3
0.00012978,5
0.00013058,2
0.00013138,5
0.00013218,7
0.00013297,5
0.00013377,2
0.00013457,4
0.00013537,2
0.00013617,0
0.00013697,2
0.00013777,1
0.00013856,3
0.00013936,2
0.00014016,2
0.00014096,1
0.00014176,1
0.00014256,0
0.00014336,3
0.00014415,0
0.00014495,1
0.00014575,3
0.00014655,1
0.00014735,2
0.00014815,2
0.00014895,3
0.00014974,4
0.00015054,1
0.00015134,2
0.00015214,0
0.00015294,1
0.00015374,2
0.00015454,0
0.00015533,0
0.00015613,1
0.00015693,2
0.00015773,3
0.00015853,1
0.00015933,3
0.00016013,1
0.00016093,1
0.00016172,2
0.00016252,1
0.00016332,0
0.00016412,0
0.00016492,0
0.00016572,1
0.00016652,0
0.00016731,0
0.00016811,0
0.00016891,0
0.00016971,0
0.00017051,1
0.00017131,0
0.00017211,0
0.0001729,0
0.0001737,0
0.0001745,0
0.0001753,0
0.0001761,0
0.0001769,0
0.0001777,0
0.00017849,0
0.00017929,0
0.00018009,0
0.00018089,0
0.00018169,0
0.00018249,0
0.00018329,0
0.00018408,0
0.00018488,0
0.00018568,0
0.00018648,0
0.00018728,0
0.00018808,0
0.00018888,0
0.00018967,0
0.00019047,0
0.00019127,0
0.00019207,0
0.00019287,0
0.00019367,0
0.00019447,0
0.00019526,0
0.00019606,0
0.00019686,0
0.00019766,0
0.00019846,0
0.00019926,0
0.00020006,0
0.00020085,0
0.00020165,0
0.00020245,0
0.00020325,0
0.00020405,1
