"bin_extents","bin_values"
5.5336e-05,17
0.00013559,99
0.00021585,162
0.0002961,307
0.00037636,498
0.00045661,467
0.00053687,445
0.00061712,418
0.00069738,404
0.00077763,384
0.00085789,354
0.00093814,262
0.0010184,283
0.0010986,238
0.0011789,215
0.0012592,245
0.0013394,205
0.0014197,190
0.0014999,175
0.0015802,162
0.0016604,159
0.0017407,135
0.0018209,158
0.0019012,143
0.0019815,158
0.0020617,135
0.002142,143
0.0022222,120
0.0023025,138
0.0023827,120
0.002463,137
0.0025432,115
0.0026235,106
0.0027037,89
0.002784,106
0.0028643,93
0.0029445,89
0.0030248,94
0.003105,65
0.0031853,95
0.0032655,77
0.0033458,80
0.003426,88
0.0035063,54
0.0035866,68
0.0036668,70
0.0037471,74
0.0038273,56
0.0039076,61
0.0039878,46
0.0040681,51
0.0041483,52
0.0042286,43
0.0043088,47
0.0043891,39
0.0044694,39
0.0045496,32
0.0046299,35
0.0047101,31
0.0047904,41
0.0048706,22
0.0049509,25
0.0050311,38
0.0051114,24
0.0051916,22
0.0052719,31
0.0053522,25
0.0054324,21
0.0055127,23
0.0055929,21
0.0056732,20
0.0057534,29
0.0058337,30
0.0059139,22
0.0059942,19
0.0060745,22
0.0061547,25
0.006235,22
0.0063152,21
0.0063955,9
0.0064757,20
0.006556,13
0.0066362,18
0.0067165,16
0.0067967,18
0.006877,17
0.0069573,12
0.0070375,14
0.0071178,12
0.007198,14
0.0072783,13
0.0073585,14
0.0074388,15
0.007519,10
0.0075993,11
0.0076796,13
0.0077598,5
0.0078401,8
0.0079203,6
0.0080006,7
0.0080808,12
0.0081611,7
0.0082413,8
0.0083216,6
0.0084018,14
0.0084821,4
0.0085624,7
0.0086426,7
0.0087229,7
0.0088031,2
0.0088834,5
0.0089636,7
0.0090439,2
0.0091241,6
0.0092044,8
0.0092846,7
0.0093649,7
0.0094452,3
0.0095254,5
0.0096057,4
0.0096859,5
0.0097662,3
0.0098464,3
0.0099267,0
0.010007,6
0.010087,5
0.010167,3
0.010248,6
0.010328,3
0.010408,4
0.010488,2
0.010569,4
0.010649,2
0.010729,3
0.010809,7
0.01089,2
0.01097,0
0.01105,3
0.011131,0
0.011211,1
0.011291,3
0.011371,2
0.011452,7
0.011532,1
0.011612,2
0.011692,3
0.011773,5
0.011853,1
0.011933,1
0.012013,1
0.012094,0
0.012174,1
0.012254,0
0.012334,2
0.012415,2
0.012495,2
0.012575,0
0.012655,4
0.012736,1
0.012816,1
0.012896,1
0.012976,0
0.013057,2
0.013137,1
0.013217,1
0.013297,2
0.013378,0
0.013458,2
0.013538,2
0.013618,1
0.013699,2
0.013779,1
0.013859,0
0.013939,0
0.01402,0
0.0141,2
0.01418,0
0.01426,0
0.014341,1
0.014421,1
0.014501,1
0.014581,0
0.014662,0
0.014742,1
0.014822,0
0.014902,1
0.014983,0
0.015063,0
0.015143,0
0.015224,1
0.015304,0
0.015384,0
0.015464,0
0.015545,0
0.015625,2
0.015705,0
0.015785,0
0.015866,0
0.015946,0
0.016026,0
0.016106,2
0.016187,0
0.016267,0
0.016347,1
0.016427,0
0.016508,0
0.016588,1
0.016668,0
0.016748,0
0.016829,0
0.016909,0
0.016989,0
0.017069,0
0.01715,0
0.01723,0
0.01731,0
0.01739,0
0.017471,0
0.017551,0
0.017631,0
0.017711,0
0.017792,1
0.017872,0
0.017952,0
0.018032,0
0.018113,0
0.018193,0
0.018273,0
0.018353,0
0.018434,0
0.018514,0
0.018594,0
0.018674,0
0.018755,0
0.018835,0
0.018915,0
0.018995,0
0.019076,0
0.019156,0
0.019236,0
0.019317,0
0.019397,0
0.019477,0
0.019557,0
0.019638,0
0.019718,0
0.019798,0
0.019878,1
0.019959,0
0.020039,0
0.020119,0
0.020199,0
0.02028,0
0.02036,0
0.02044,0
0.02052,1
