"bin_extents","bin_values"
2.2354e-07,96
6.5397e-07,69
1.0844e-06,97
1.5148e-06,92
1.9453e-06,85
2.3757e-06,87
2.8061e-06,69
3.2366e-06,88
3.667e-06,81
4.0974e-06,72
4.5279e-06,70
4.9583e-06,93
5.3887e-06,70
5.8191e-06,87
6.2496e-06,83
6.68e-06,71
7.1104e-06,82
7.5409e-06,76
7.9713e-06,91
8.4017e-06,87
8.8322e-06,88
9.2626e-06,77
9.693e-06,92
1.0123e-05,85
1.0554e-05,68
1.0984e-05,80
1.1415e-05,107
1.1845e-05,82
1.2276e-05,116
1.2706e-05,109
1.3136e-05,104
1.3567e-05,113
1.3997e-05,95
1.4428e-05,106
1.4858e-05,113
1.5289e-05,123
1.5719e-05,125
1.6149e-05,108
1.658e-05,114
1.701e-05,89
1.7441e-05,108
1.7871e-05,100
1.8302e-05,111
1.8732e-05,108
1.9163e-05,113
1.9593e-05,110
2.0023e-05,103
2.0454e-05,105
2.0884e-05,94
2.1315e-05,105
2.1745e-05,128
2.2176e-05,120
2.2606e-05,115
2.3036e-05,117
2.3467e-05,112
2.3897e-05,113
2.4328e-05,104
2.4758e-05,110
2.5189e-05,115
2.5619e-05,116
2.6049e-05,122
2.648e-05,105
2.691e-05,90
2.7341e-05,112
2.7771e-05,99
2.8202e-05,88
2.8632e-05,128
2.9062e-05,97
2.9493e-05,84
2.9923e-05,88
3.0354e-05,99
3.0784e-05,86
3.1215e-05,78
3.1645e-05,78
3.2075e-05,93
3.2506e-05,82
3.2936e-05,91
3.3367e-05,77
3.3797e-05,63
3.4228e-05,81
3.4658e-05,55
3.5088e-05,63
3.5519e-05,67
3.5949e-05,60
3.638e-05,69
3.681e-05,53
3.7241e-05,73
3.7671e-05,59
3.8101e-05,62
3.8532e-05,51
3.8962e-05,54
3.9393e-05,53
3.9823e-05,51
4.0254e-05,53
4.0684e-05,38
4.1115e-05,51
4.1545e-05,51
4.1975e-05,47
4.2406e-05,60
4.2836e-05,35
4.3267e-05,44
4.3697e-05,43
4.4128e-05,45
4.4558e-05,54
4.4988e-05,41
4.5419e-05,48
4.5849e-05,33
4.628e-05,44
4.671e-05,47
4.7141e-05,41
4.7571e-05,34
4.8001e-05,27
4.8432e-05,29
4.8862e-05,26
4.9293e-05,29
4.9723e-05,25
5.0154e-05,17
5.0584e-05,18
5.1014e-05,30
5.1445e-05,24
5.1875e-05,13
5.2306e-05,21
5.2736e-05,22
5.3167e-05,14
5.3597e-05,13
5.4027e-05,21
5.4458e-05,18
5.4888e-05,11
5.5319e-05,13
5.5749e-05,18
5.618e-05,14
5.661e-05,16
5.704e-05,19
5.7471e-05,13
5.7901e-05,16
5.8332e-05,9
5.8762e-05,12
5.9193e-05,14
5.9623e-05,8
6.0053e-05,16
6.0484e-05,14
6.0914e-05,14
6.1345e-05,9
6.1775e-05,6
6.2206e-05,5
6.2636e-05,4
6.3067e-05,4
6.3497e-05,6
6.3927e-05,10
6.4358e-05,5
6.4788e-05,7
6.5219e-05,3
6.5649e-05,4
6.608e-05,7
6.651e-05,6
6.694e-05,8
6.7371e-05,4
6.7801e-05,4
6.8232e-05,3
6.8662e-05,2
6.9093e-05,8
6.9523e-05,2
6.9953e-05,7
7.0384e-05,3
7.0814e-05,0
7.1245e-05,2
7.1675e-05,6
7.2106e-05,3
7.2536e-05,7
7.2966e-05,4
7.3397e-05,4
7.3827e-05,4
7.4258e-05,1
7.4688e-05,1
7.5119e-05,0
7.5549e-05,6
7.5979e-05,1
7.641e-05,1
7.684e-05,2
7.7271e-05,9
7.7701e-05,5
7.8132e-05,3
7.8562e-05,0
7.8992e-05,0
7.9423e-05,0
7.9853e-05,1
8.0284e-05,0
8.0714e-05,0
8.1145e-05,1
8.1575e-05,0
8.2005e-05,0
8.2436e-05,0
8.2866e-05,0
8.3297e-05,0
8.3727e-05,0
8.4158e-05,0
8.4588e-05,0
8.5018e-05,0
8.5449e-05,0
8.5879e-05,0
8.631e-05,0
8.674e-05,0
8.7171e-05,0
8.7601e-05,0
8.8032e-05,0
8.8462e-05,0
8.8892e-05,0
8.9323e-05,0
8.9753e-05,0
9.0184e-05,0
9.0614e-05,0
9.1045e-05,0
9.1475e-05,0
9.1905e-05,0
9.2336e-05,0
9.2766e-05,0
9.3197e-05,0
9.3627e-05,0
9.4058e-05,0
9.4488e-05,0
9.4918e-05,0
9.5349e-05,0
9.5779e-05,0
9.621e-05,0
9.664e-05,0
9.7071e-05,0
9.7501e-05,0
9.7931e-05,0
9.8362e-05,0
9.8792e-05,0
9.9223e-05,0
9.9653e-05,0
0.00010008,0
0.00010051,0
0.00010094,0
0.00010137,0
0.00010181,0
0.00010224,0
0.00010267,0
0.0001031,0
0.00010353,0
0.00010396,0
0.00010439,0
0.00010482,0
0.00010525,0
0.00010568,0
0.00010611,0
0.00010654,0
0.00010697,0
0.0001074,0
0.00010783,0
0.00010826,0
0.00010869,0
0.00010912,0
0.00010955,0
0.00010998,1
