"bin_extents","bin_values"
2.5642e-06,238
7.6228e-06,248
1.2681e-05,204
1.774e-05,188
2.2799e-05,198
2.7857e-05,189
3.2916e-05,173
3.7974e-05,199
4.3033e-05,179
4.8092e-05,185
5.315e-05,180
5.8209e-05,184
6.3268e-05,183
6.8326e-05,189
7.3385e-05,213
7.8443e-05,207
8.3502e-05,201
8.8561e-05,163
9.3619e-05,211
9.8678e-05,190
0.00010374,144
0.0001088,168
0.00011385,170
0.00011891,143
0.00012397,165
0.00012903,137
0.00013409,159
0.00013915,166
0.00014421,112
0.00014926,118
0.00015432,122
0.00015938,128
0.00016444,123
0.0001695,120
0.00017456,133
0.00017962,109
0.00018467,104
0.00018973,120
0.00019479,104
0.00019985,110
0.00020491,109
0.00020997,122
0.00021503,113
0.00022008,85
0.00022514,93
0.0002302,107
0.00023526,93
0.00024032,92
0.00024538,97
0.00025044,70
0.00025549,81
0.00026055,63
0.00026561,63
0.00027067,66
0.00027573,63
0.00028079,76
0.00028585,63
0.0002909,72
0.00029596,79
0.00030102,46
0.00030608,50
0.00031114,47
0.0003162,38
0.00032126,50
0.00032632,54
0.00033137,35
0.00033643,42
0.00034149,36
0.00034655,45
0.00035161,42
0.00035667,46
0.00036173,29
0.00036678,29
0.00037184,23
0.0003769,30
0.00038196,34
0.00038702,24
0.00039208,31
0.00039714,28
0.00040219,24
0.00040725,26
0.00041231,25
0.00041737,25
0.00042243,27
0.00042749,15
0.00043255,23
0.0004376,28
0.00044266,31
0.00044772,30
0.00045278,28
0.00045784,21
0.0004629,21
0.00046796,25
0.00047301,20
0.00047807,16
0.00048313,23
0.00048819,22
0.00049325,25
0.00049831,15
0.00050337,18
0.00050843,12
0.00051348,22
0.00051854,17
0.0005236,21
0.00052866,21
0.00053372,16
0.00053878,14
0.00054384,17
0.00054889,19
0.00055395,13
0.00055901,10
0.00056407,8
0.00056913,11
0.00057419,8
0.00057925,14
0.0005843,19
0.00058936,5
0.00059442,15
0.00059948,10
0.00060454,12
0.0006096,10
0.00061466,12
0.00061971,13
0.00062477,9
0.00062983,9
0.00063489,9
0.00063995,11
0.00064501,8
0.00065007,11
0.00065512,9
0.00066018,7
0.00066524,8
0.0006703,6
0.00067536,3
0.00068042,6
0.00068548,7
0.00069053,6
0.00069559,4
0.00070065,5
0.00070571,3
0.00071077,3
0.00071583,4
0.00072089,7
0.00072595,6
0.000731,3
0.00073606,5
0.00074112,2
0.00074618,4
0.00075124,3
0.0007563,4
0.00076136,9
0.00076641,5
0.00077147,6
0.00077653,3
0.00078159,3
0.00078665,2
0.00079171,1
0.00079677,4
0.00080182,2
0.00080688,3
0.00081194,8
0.000817,9
0.00082206,5
0.00082712,2
0.00083218,1
0.00083723,0
0.00084229,2
0.00084735,3
0.00085241,2
0.00085747,2
0.00086253,0
0.00086759,1
0.00087264,1
0.0008777,1
0.00088276,3
0.00088782,4
0.00089288,1
0.00089794,0
0.000903,0
0.00090806,0
0.00091311,0
0.00091817,0
0.00092323,0
0.00092829,2
0.00093335,0
0.00093841,0
0.00094347,0
0.00094852,0
0.00095358,0
0.00095864,0
0.0009637,0
0.00096876,1
0.00097382,0
0.00097888,0
0.00098393,0
0.00098899,0
0.00099405,1
0.00099911,0
0.0010042,0
0.0010092,0
0.0010143,0
0.0010193,0
0.0010244,0
0.0010295,0
0.0010345,0
0.0010396,0
0.0010446,0
0.0010497,0
0.0010548,0
0.0010598,0
0.0010649,0
0.0010699,0
0.001075,0
0.00108,0
0.0010851,0
0.0010902,0
0.0010952,0
0.0011003,0
0.0011053,0
0.0011104,0
0.0011155,0
0.0011205,0
0.0011256,0
0.0011306,0
0.0011357,0
0.0011408,0
0.0011458,0
0.0011509,0
0.0011559,0
0.001161,0
0.001166,0
0.0011711,0
0.0011762,0
0.0011812,0
0.0011863,0
0.0011913,0
0.0011964,0
0.0012015,0
0.0012065,0
0.0012116,0
0.0012166,0
0.0012217,0
0.0012267,0
0.0012318,0
0.0012369,0
0.0012419,0
0.001247,0
0.001252,0
0.0012571,0
0.0012622,0
0.0012672,0
0.0012723,0
0.0012773,0
0.0012824,0
0.0012875,0
0.0012925,1
