"bin_extents","bin_values"
4.2394e-06,366
1.2595e-05,382
2.0951e-05,456
2.9306e-05,511
3.7662e-05,541
4.6017e-05,577
5.4373e-05,538
6.2729e-05,625
7.1084e-05,735
7.944e-05,740
8.7795e-05,558
9.6151e-05,424
0.00010451,368
0.00011286,334
0.00012122,288
0.00012957,257
0.00013793,240
0.00014628,236
0.00015464,210
0.000163,204
0.00017135,241
0.00017971,199
0.00018806,115
0.00019642,85
0.00020477,71
0.00021313,54
0.00022149,45
0.00022984,34
0.0002382,28
0.00024655,23
0.00025491,21
0.00026326,20
0.00027162,21
0.00027997,28
0.00028833,10
0.00029669,17
0.00030504,14
0.0003134,8
0.00032175,21
0.00033011,11
0.00033846,11
0.00034682,19
0.00035517,12
0.00036353,7
0.00037189,9
0.00038024,8
0.0003886,10
0.00039695,6
0.00040531,6
0.00041366,8
0.00042202,6
0.00043038,6
0.00043873,7
0.00044709,5
0.00045544,3
0.0004638,6
0.00047215,3
0.00048051,3
0.00048886,2
0.00049722,3
0.00050558,1
0.00051393,3
0.00052229,5
0.00053064,3
0.000539,5
0.00054735,6
0.00055571,6
0.00056406,2
0.00057242,0
0.00058078,4
0.00058913,2
0.00059749,3
0.00060584,4
0.0006142,3
0.00062255,4
0.00063091,5
0.00063927,9
0.00064762,2
0.00065598,3
0.00066433,3
0.00067269,8
0.00068104,5
0.0006894,5
0.00069775,2
0.00070611,1
0.00071447,3
0.00072282,2
0.00073118,1
0.00073953,4
0.00074789,2
0.00075624,3
0.0007646,3
0.00077295,5
0.00078131,2
0.00078967,2
0.00079802,3
0.00080638,0
0.00081473,4
0.00082309,1
0.00083144,3
0.0008398,1
0.00084816,2
0.00085651,1
0.00086487,2
0.00087322,4
0.00088158,3
0.00088993,2
0.00089829,0
0.00090664,1
0.000915,1
0.00092336,2
0.00093171,4
0.00094007,2
0.00094842,1
0.00095678,1
0.00096513,1
0.00097349,1
0.00098185,2
0.0009902,0
0.00099856,4
0.0010069,1
0.0010153,0
0.0010236,0
0.001032,0
0.0010403,1
0.0010487,1
0.001057,0
0.0010654,0
0.0010738,0
0.0010821,1
0.0010905,1
0.0010988,1
0.0011072,2
0.0011155,3
0.0011239,1
0.0011322,1
0.0011406,0
0.001149,0
0.0011573,0
0.0011657,1
0.001174,0
0.0011824,1
0.0011907,0
0.0011991,2
0.0012074,0
0.0012158,1
0.0012242,0
0.0012325,0
0.0012409,0
0.0012492,1
0.0012576,1
0.0012659,0
0.0012743,1
0.0012826,1
0.001291,1
0.0012994,2
0.0013077,1
0.0013161,1
0.0013244,0
0.0013328,0
0.0013411,0
0.0013495,0
0.0013578,1
0.0013662,0
0.0013746,0
0.0013829,0
0.0013913,1
0.0013996,0
0.001408,1
0.0014163,0
0.0014247,0
0.001433,0
0.0014414,1
0.0014498,1
0.0014581,0
0.0014665,1
0.0014748,1
0.0014832,0
0.0014915,0
0.0014999,0
0.0015082,0
0.0015166,0
0.001525,0
0.0015333,0
0.0015417,0
0.00155,0
0.0015584,0
0.0015667,0
0.0015751,0
0.0015834,0
0.0015918,0
0.0016002,1
0.0016085,0
0.0016169,1
0.0016252,0
0.0016336,0
0.0016419,0
0.0016503,0
0.0016586,0
0.001667,0
0.0016754,0
0.0016837,0
0.0016921,0
0.0017004,0
0.0017088,0
0.0017171,0
0.0017255,0
0.0017338,0
0.0017422,0
0.0017506,0
0.0017589,0
0.0017673,0
0.0017756,0
0.001784,0
0.0017923,0
0.0018007,0
0.001809,0
0.0018174,0
0.0018258,0
0.0018341,0
0.0018425,0
0.0018508,0
0.0018592,0
0.0018675,0
0.0018759,0
0.0018843,0
0.0018926,0
0.001901,0
0.0019093,0
0.0019177,0
0.001926,0
0.0019344,0
0.0019427,0
0.0019511,0
0.0019595,0
0.0019678,0
0.0019762,0
0.0019845,0
0.0019929,0
0.0020012,0
0.0020096,0
0.0020179,0
0.0020263,0
0.0020347,0
0.002043,0
0.0020514,0
0.0020597,0
0.0020681,0
0.0020764,0
0.0020848,0
0.0020931,0
0.0021015,0
0.0021099,0
0.0021182,0
0.0021266,0
0.0021349,1
