"bin_extents","bin_values"
2.7044e-06,205
7.941e-06,215
1.3178e-05,199
1.8414e-05,188
2.3651e-05,186
2.8887e-05,182
3.4124e-05,188
3.9361e-05,204
4.4597e-05,213
4.9834e-05,288
5.507e-05,282
6.0307e-05,345
6.5544e-05,305
7.078e-05,334
7.6017e-05,335
8.1253e-05,318
8.649e-05,308
9.1727e-05,356
9.6963e-05,321
0.0001022,324
0.00010744,296
0.00011267,293
0.00011791,313
0.00012315,331
0.00012838,280
0.00013362,289
0.00013886,287
0.00014409,246
0.00014933,240
0.00015457,205
0.0001598,182
0.00016504,162
0.00017028,179
0.00017551,187
0.00018075,147
0.00018599,113
0.00019122,119
0.00019646,108
0.0002017,58
0.00020693,61
0.00021217,57
0.00021741,42
0.00022264,35
0.00022788,29
0.00023312,13
0.00023835,21
0.00024359,14
0.00024882,22
0.00025406,16
0.0002593,4
0.00026453,17
0.00026977,16
0.00027501,9
0.00028024,11
0.00028548,12
0.00029072,14
0.00029595,6
0.00030119,3
0.00030643,9
0.00031166,8
0.0003169,6
0.00032214,6
0.00032737,13
0.00033261,4
0.00033785,6
0.00034308,7
0.00034832,4
0.00035356,6
0.00035879,5
0.00036403,2
0.00036927,9
0.0003745,4
0.00037974,5
0.00038498,2
0.00039021,4
0.00039545,10
0.00040069,10
0.00040592,3
0.00041116,5
0.0004164,3
0.00042163,6
0.00042687,5
0.00043211,5
0.00043734,3
0.00044258,4
0.00044782,1
0.00045305,3
0.00045829,1
0.00046353,3
0.00046876,9
0.000474,2
0.00047924,3
0.00048447,2
0.00048971,2
0.00049495,2
0.00050018,2
0.00050542,1
0.00051066,0
0.00051589,6
0.00052113,3
0.00052637,4
0.0005316,2
0.00053684,1
0.00054207,1
0.00054731,0
0.00055255,0
0.00055778,1
0.00056302,3
0.00056826,3
0.00057349,1
0.00057873,0
0.00058397,1
0.0005892,3
0.00059444,1
0.00059968,2
0.00060491,2
0.00061015,1
0.00061539,1
0.00062062,1
0.00062586,2
0.0006311,1
0.00063633,1
0.00064157,2
0.00064681,1
0.00065204,1
0.00065728,1
0.00066252,0
0.00066775,1
0.00067299,0
0.00067823,0
0.00068346,2
0.0006887,1
0.00069394,0
0.00069917,2
0.00070441,0
0.00070965,1
0.00071488,1
0.00072012,0
0.00072536,1
0.00073059,0
0.00073583,2
0.00074107,1
0.0007463,0
0.00075154,1
0.00075678,0
0.00076201,1
0.00076725,2
0.00077249,0
0.00077772,2
0.00078296,0
0.0007882,1
0.00079343,1
0.00079867,2
0.00080391,0
0.00080914,0
0.00081438,0
0.00081962,0
0.00082485,0
0.00083009,0
0.00083532,0
0.00084056,0
0.0008458,2
0.00085103,0
0.00085627,0
0.00086151,0
0.00086674,0
0.00087198,0
0.00087722,0
0.00088245,0
0.00088769,0
0.00089293,0
0.00089816,1
0.0009034,0
0.00090864,1
0.00091387,0
0.00091911,0
0.00092435,0
0.00092958,2
0.00093482,0
0.00094006,1
0.00094529,0
0.00095053,0
0.00095577,0
0.000961,1
0.00096624,1
0.00097148,0
0.00097671,0
0.00098195,0
0.00098719,1
0.00099242,0
0.00099766,0
0.0010029,0
0.0010081,0
0.0010134,0
0.0010186,0
0.0010238,0
0.0010291,0
0.0010343,0
0.0010396,0
0.0010448,0
0.00105,0
0.0010553,0
0.0010605,0
0.0010657,1
0.001071,0
0.0010762,0
0.0010814,0
0.0010867,0
0.0010919,0
0.0010972,0
0.0011024,1
0.0011076,0
0.0011129,0
0.0011181,1
0.0011233,0
0.0011286,0
0.0011338,0
0.001139,0
0.0011443,0
0.0011495,0
0.0011548,0
0.00116,0
0.0011652,0
0.0011705,0
0.0011757,0
0.0011809,0
0.0011862,0
0.0011914,0
0.0011967,0
0.0012019,0
0.0012071,0
0.0012124,0
0.0012176,0
0.0012228,0
0.0012281,0
0.0012333,0
0.0012385,0
0.0012438,0
0.001249,0
0.0012543,0
0.0012595,0
0.0012647,0
0.00127,0
0.0012752,0
0.0012804,0
0.0012857,0
0.0012909,0
0.0012961,0
0.0013014,0
0.0013066,0
0.0013119,0
0.0013171,0
0.0013223,0
0.0013276,0
0.0013328,0
0.001338,1
