"bin_extents","bin_values"
3.4405e-06,237
1.0165e-05,251
1.689e-05,218
2.3615e-05,201
3.034e-05,199
3.7065e-05,206
4.379e-05,180
5.0514e-05,201
5.7239e-05,213
6.3964e-05,237
7.0689e-05,263
7.7414e-05,277
8.4139e-05,273
9.0864e-05,297
9.7588e-05,289
0.00010431,315
0.00011104,354
0.00011776,342
0.00012449,345
0.00013121,330
0.00013794,366
0.00014466,366
0.00015139,334
0.00015811,312
0.00016484,327
0.00017156,279
0.00017829,270
0.00018501,278
0.00019174,262
0.00019846,219
0.00020519,198
0.00021191,200
0.00021864,202
0.00022536,199
0.00023209,169
0.00023881,96
0.00024553,73
0.00025226,71
0.00025898,54
0.00026571,35
0.00027243,17
0.00027916,20
0.00028588,20
0.00029261,6
0.00029933,17
0.00030606,11
0.00031278,12
0.00031951,9
0.00032623,10
0.00033296,9
0.00033968,9
0.00034641,10
0.00035313,11
0.00035986,10
0.00036658,14
0.00037331,8
0.00038003,11
0.00038676,7
0.00039348,5
0.00040021,7
0.00040693,5
0.00041366,4
0.00042038,5
0.00042711,2
0.00043383,3
0.00044056,10
0.00044728,8
0.00045401,6
0.00046073,3
0.00046745,4
0.00047418,7
0.0004809,3
0.00048763,3
0.00049435,3
0.00050108,5
0.0005078,1
0.00051453,3
0.00052125,1
0.00052798,7
0.0005347,3
0.00054143,2
0.00054815,7
0.00055488,1
0.0005616,4
0.00056833,4
0.00057505,0
0.00058178,1
0.0005885,4
0.00059523,2
0.00060195,2
0.00060868,2
0.0006154,5
0.00062213,4
0.00062885,3
0.00063558,1
0.0006423,5
0.00064903,4
0.00065575,1
0.00066248,2
0.0006692,4
0.00067592,2
0.00068265,1
0.00068937,2
0.0006961,2
0.00070282,6
0.00070955,4
0.00071627,1
0.000723,1
0.00072972,2
0.00073645,5
0.00074317,4
0.0007499,1
0.00075662,2
0.00076335,3
0.00077007,1
0.0007768,2
0.00078352,0
0.00079025,2
0.00079697,1
0.0008037,1
0.00081042,1
0.00081715,2
0.00082387,3
0.0008306,0
0.00083732,0
0.00084405,1
0.00085077,1
0.0008575,1
0.00086422,1
0.00087095,0
0.00087767,1
0.0008844,2
0.00089112,2
0.00089784,0
0.00090457,2
0.00091129,2
0.00091802,0
0.00092474,0
0.00093147,1
0.00093819,1
0.00094492,0
0.00095164,1
0.00095837,0
0.00096509,2
0.00097182,1
0.00097854,1
0.00098527,1
0.00099199,0
0.00099872,3
0.0010054,1
0.0010122,0
0.0010189,1
0.0010256,1
0.0010323,1
0.0010391,0
0.0010458,0
0.0010525,2
0.0010592,0
0.001066,1
0.0010727,0
0.0010794,1
0.0010861,0
0.0010929,0
0.0010996,0
0.0011063,0
0.001113,0
0.0011198,0
0.0011265,1
0.0011332,1
0.0011399,0
0.0011467,0
0.0011534,0
0.0011601,0
0.0011668,0
0.0011736,0
0.0011803,0
0.001187,0
0.0011937,1
0.0012005,1
0.0012072,0
0.0012139,0
0.0012206,1
0.0012274,0
0.0012341,0
0.0012408,0
0.0012475,0
0.0012543,0
0.001261,0
0.0012677,2
0.0012744,1
0.0012812,0
0.0012879,0
0.0012946,0
0.0013013,1
0.0013081,0
0.0013148,0
0.0013215,0
0.0013282,0
0.001335,0
0.0013417,1
0.0013484,0
0.0013551,1
0.0013619,0
0.0013686,0
0.0013753,0
0.001382,0
0.0013888,0
0.0013955,0
0.0014022,0
0.0014089,1
0.0014157,0
0.0014224,0
0.0014291,0
0.0014358,0
0.0014426,0
0.0014493,0
0.001456,0
0.0014627,0
0.0014695,0
0.0014762,0
0.0014829,0
0.0014896,0
0.0014964,0
0.0015031,0
0.0015098,1
0.0015165,0
0.0015233,0
0.00153,0
0.0015367,0
0.0015434,0
0.0015502,0
0.0015569,0
0.0015636,0
0.0015703,0
0.0015771,0
0.0015838,0
0.0015905,0
0.0015972,0
0.001604,0
0.0016107,0
0.0016174,0
0.0016241,0
0.0016309,0
0.0016376,0
0.0016443,0
0.001651,0
0.0016578,0
0.0016645,0
0.0016712,0
0.0016779,0
0.0016847,0
0.0016914,0
0.0016981,0
0.0017048,0
0.0017116,0
0.0017183,1
