"bin_extents","bin_values"
4.8911e-05,9
0.00013388,31
0.00021884,89
0.00030381,137
0.00038878,288
0.00047374,361
0.00055871,296
0.00064368,275
0.00072864,249
0.00081361,273
0.00089857,234
0.00098354,261
0.0010685,215
0.0011535,245
0.0012384,257
0.0013234,267
0.0014084,258
0.0014933,280
0.0015783,284
0.0016633,302
0.0017482,226
0.0018332,227
0.0019182,233
0.0020031,203
0.0020881,205
0.0021731,209
0.002258,220
0.002343,196
0.002428,170
0.0025129,146
0.0025979,159
0.0026829,160
0.0027678,154
0.0028528,145
0.0029378,136
0.0030227,140
0.0031077,131
0.0031927,96
0.0032776,108
0.0033626,86
0.0034476,84
0.0035325,82
0.0036175,80
0.0037025,55
0.0037874,65
0.0038724,76
0.0039574,62
0.0040423,72
0.0041273,71
0.0042123,51
0.0042972,52
0.0043822,50
0.0044672,44
0.0045521,46
0.0046371,31
0.0047221,40
0.004807,37
0.004892,40
0.004977,35
0.0050619,39
0.0051469,36
0.0052319,35
0.0053168,34
0.0054018,13
0.0054868,31
0.0055717,33
0.0056567,18
0.0057417,27
0.0058266,24
0.0059116,20
0.0059966,20
0.0060815,8
0.0061665,20
0.0062515,18
0.0063364,16
0.0064214,13
0.0065064,16
0.0065913,11
0.0066763,20
0.0067613,12
0.0068462,18
0.0069312,15
0.0070162,19
0.0071011,16
0.0071861,14
0.0072711,10
0.007356,8
0.007441,15
0.007526,12
0.0076109,4
0.0076959,6
0.0077809,9
0.0078658,6
0.0079508,9
0.0080358,7
0.0081207,6
0.0082057,7
0.0082907,7
0.0083756,12
0.0084606,5
0.0085456,3
0.0086305,10
0.0087155,4
0.0088005,3
0.0088854,7
0.0089704,10
0.0090554,5
0.0091403,7
0.0092253,5
0.0093103,5
0.0093952,4
0.0094802,6
0.0095651,5
0.0096501,9
0.0097351,4
0.00982,9
0.009905,5
0.00999,1
0.010075,5
0.01016,6
0.010245,5
0.01033,2
0.010415,1
0.0105,4
0.010585,6
0.01067,7
0.010755,5
0.01084,5
0.010925,2
0.01101,5
0.011095,5
0.01118,6
0.011264,5
0.011349,3
0.011434,3
0.011519,1
0.011604,1
0.011689,1
0.011774,2
0.011859,1
0.011944,6
0.012029,2
0.012114,1
0.012199,2
0.012284,1
0.012369,2
0.012454,5
0.012539,4
0.012624,1
0.012709,1
0.012794,0
0.012879,3
0.012964,3
0.013049,1
0.013134,0
0.013219,1
0.013304,0
0.013389,2
0.013474,2
0.013559,2
0.013644,1
0.013729,3
0.013813,2
0.013898,3
0.013983,1
0.014068,2
0.014153,1
0.014238,1
0.014323,2
0.014408,4
0.014493,3
0.014578,1
0.014663,0
0.014748,1
0.014833,2
0.014918,1
0.015003,1
0.015088,4
0.015173,2
0.015258,2
0.015343,0
0.015428,1
0.015513,0
0.015598,0
0.015683,2
0.015768,2
0.015853,2
0.015938,0
0.016023,1
0.016108,1
0.016193,1
0.016277,1
0.016362,0
0.016447,1
0.016532,2
0.016617,0
0.016702,0
0.016787,1
0.016872,0
0.016957,3
0.017042,0
0.017127,1
0.017212,0
0.017297,0
0.017382,1
0.017467,1
0.017552,0
0.017637,1
0.017722,1
0.017807,0
0.017892,0
0.017977,0
0.018062,0
0.018147,2
0.018232,1
0.018317,2
0.018402,1
0.018487,1
0.018572,0
0.018657,2
0.018742,0
0.018826,0
0.018911,0
0.018996,2
0.019081,0
0.019166,0
0.019251,0
0.019336,0
0.019421,0
0.019506,0
0.019591,1
0.019676,0
0.019761,1
0.019846,0
0.019931,0
0.020016,0
0.020101,0
0.020186,0
0.020271,0
0.020356,0
0.020441,0
0.020526,0
0.020611,0
0.020696,1
0.020781,0
0.020866,0
0.020951,0
0.021036,0
0.021121,0
0.021206,0
0.021291,0
0.021375,0
0.02146,0
0.021545,0
0.02163,0
0.021715,1
